HEROMOTOCO | ROE Difference = 5.19%
HINDALCO | ROE Difference = 9.52%
HINDALCO | ROE Difference = 11.93%
HINDALCO | ROE Difference = 6.11%
HINDALCO | ROE Difference = 7.36%
HINDUNILVR | ROE Difference = 113.80%
HINDUNILVR | ROE Difference = 91.65%
HINDUNILVR | ROE Difference = 88.47%
HINDUNILVR | ROE Difference = 42.95%
HINDUNILVR | ROE Difference = 46.38%
HINDUNILVR | ROE Difference = 51.59%
HINDUNILVR | ROE Difference = 56.83%
HINDUNILVR | ROE Difference = 61.90%
ICICIBANK | ROE Difference = 7.19%
ICICIBANK | ROE Difference = 7.96%
ICICIBANK | ROE Difference = 10.57%
ICICIBANK | ROE Difference = 13.82%
ICICIBANK | ROE Difference = 9.67%
ICICIBANK | ROE Difference = 5.88%
ICICIPRULI | ROE Difference = 30.18%
ICICIPRULI | ROE Difference = 27.54%
ICICIPRULI | ROE Difference = 23.08%
ICICIPRULI | ROE Difference = 22.93%
ICICIPRULI | ROE Difference = 18.19%
ICICIPRULI | ROE Difference = 16.56%
ICICIPRULI | ROE Difference = 8.51%
ICICIPRULI | ROE Difference = 6.72%
INDUSINDBK | ROE Difference = 8.66%
INDUSINDBK | ROE Difference = 5.53%
INFY | ROE Difference = 6.98%
INFY | ROE Difference = 7.87%
INFY | ROE Difference = 7.41%
INFY | ROE Difference = 9.95%
INFY | ROE Difference = 10.99%
INFY | ROE Difference = 7.11%
INFY | ROE Difference = 8.07%
INFY | ROE Difference = 6.38%
INFY | ROE Difference = 6.36%
IOC | ROE Difference = 19.69%
IOC | ROE Difference = 15.18%
IOC | ROE Difference = 18.36%
IOC | ROE Difference = 11.64%
IOC | ROE Difference = 5.47%
IOC | ROE Difference = 5.57%
IOC | ROE Difference = 10.08%
IOC | ROE Difference = 27.41%
IOC | ROE Difference = 5.98%
IOC | ROE Difference = 6.17%
IOC | ROE Difference = 17.06%
IRCTC | ROE Difference = 10.90%
IRCTC | ROE Difference = 5.53%
IRCTC | ROE Difference = 11.30%
IRCTC | ROE Difference = 17.26%
IRCTC | ROE Difference = 11.55%
IRCTC | ROE Difference = 27.56%
IRCTC | ROE Difference = 5.11%
IRCTC | ROE Difference = 6.00%
IRFC | ROE Difference = 6.33%
IRFC | ROE Difference = 5.92%
ITC | ROE Difference = 7.21%
ITC | ROE Difference = 6.90%
ITC | ROE Difference = 7.58%
ITC | ROE Difference = 7.77%
ITC | ROE Difference = 5.58%
ITC | ROE Difference = 7.29%
JINDALSTEL | ROE Difference = 5.71%
JINDALSTEL | ROE Difference = 21.00%
JINDALSTEL | ROE Difference = 23.62%
JINDALSTEL | ROE Difference = 22.55%
JINDALSTEL | ROE Difference = 19.42%
JINDALSTEL | ROE Difference = 21.62%
JINDALSTEL | ROE Difference = 15.34%
JSWENERGY | ROE Difference = 6.12%
JSWENERGY | ROE Difference = 9.66%
JSWENERGY | ROE Difference = 6.65%
JSWENERGY | ROE Difference = 7.63%
JSWSTEEL | ROE Difference = 6.22%
JSWSTEEL | ROE Difference = 9.76%
JSWSTEEL | ROE Difference = 14.20%
JSWSTEEL | ROE Difference = 10.17%
JSWSTEEL | ROE Difference = 9.96%
JSWSTEEL | ROE Difference = 5.18%
JSWSTEEL | ROE Difference = 19.45%
JSWSTEEL | ROE Difference = 5.36%
LICI | ROE Difference = 260.71%
LICI | ROE Difference = 206.85%
LICI | ROE Difference = 20.41%
LICI | ROE Difference = 27.23%
LICI | ROE Difference = 14.25%
LICI | ROE Difference = 14.16%
LODHA | ROE Difference = 6.99%
LODHA | ROE Difference = 32.10%
LODHA | ROE Difference = 5.60%
LODHA | ROE Difference = 9.66%
LODHA | ROE Difference = 6.83%
LT | ROE Difference = 384.66%
LT | ROE Difference = 292.93%
LT | ROE Difference = 234.62%
LT | ROE Difference = 205.60%
LT | ROE Difference = 195.81%
LT | ROE Difference = 196.87%
LT | ROE Difference = 198.32%
LT | ROE Difference = 191.10%
LT | ROE Difference = 166.41%
LT | ROE Difference = 62.43%
LT | ROE Difference = 65.03%
LT | ROE Difference = 67.18%
LTIM | ROE Difference = 15.93%
LTIM | ROE Difference = 35.82%
LTIM | ROE Difference = 11.92%
LTIM | ROE Difference = 13.30%
M&M | ROE Difference = 18.79%
M&M | ROE Difference = 14.35%
MARUTI | ROE Difference = 7.39%
MARUTI | ROE Difference = 8.74%
MOTHERSON | ROE Difference = 7.95%
MOTHERSON | ROE Difference = 25.27%
MOTHERSON | ROE Difference = 27.07%
MOTHERSON | ROE Difference = 28.55%
MOTHERSON | ROE Difference = 14.46%
MOTHERSON | ROE Difference = 11.07%
MOTHERSON | ROE Difference = 7.34%
MOTHERSON | ROE Difference = 6.06%
NAUKRI | ROE Difference = 10.06%
NAUKRI | ROE Difference = 6.49%
NAUKRI | ROE Difference = 5.21%
NAUKRI | ROE Difference = 5.14%
NAUKRI | ROE Difference = 22.06%
NAUKRI | ROE Difference = 20.84%
NAUKRI | ROE Difference = 13.65%
NAUKRI | ROE Difference = 23.84%
NAUKRI | ROE Difference = 72.27%
NESTLEIND | ROE Difference = 88.44%
NESTLEIND | ROE Difference = 93.84%
NESTLEIND | ROE Difference = 115.62%
NESTLEIND | ROE Difference = 105.11%
NESTLEIND | ROE Difference = 99.79%
NESTLEIND | ROE Difference = 91.86%
NESTLEIND | ROE Difference = 33.00%
NESTLEIND | ROE Difference = 32.49%
NESTLEIND | ROE Difference = 26.77%
NESTLEIND | ROE Difference = 38.38%
NESTLEIND | ROE Difference = 13.65%
NESTLEIND | ROE Difference = 17.86%
ONGC | ROE Difference = 7.70%
ONGC | ROE Difference = 8.73%
PFC | ROE Difference = 13.42%
PFC | ROE Difference = 7.33%
PFC | ROE Difference = 6.37%
PFC | ROE Difference = 6.69%
PFC | ROE Difference = 5.68%
PFC | ROE Difference = 6.67%
PIDILITIND | ROE Difference = 7.79%
PNB | ROE Difference = 803.60%
PNB | ROE Difference = 803.60%
